,freight_value,price,payment_value,payment_installments,payment_sequential
89679,19.23,44.88,64.11,1,1
13290,15.94,169.9,185.84,3,1
20584,25.66,54.9,80.56,3,1
14535,12.57,69.0,153.14,8,1
85954,11.85,13.9,47.5,1,1
2623,15.74,223.9,239.64,1,1
96896,7.39,55.0,62.39,1,1
28156,15.66,79.9,95.56,1,1
67848,82.02,714.0,796.02,4,1
71217,22.06,27.5,49.56,1,1
14521,16.25,69.9,86.15,1,1
55459,22.88,79.99,11.12,1,18
41698,40.99,110.0,150.99,1,1
105157,16.57,115.0,131.57,1,1
14771,9.75,119.9,129.65,2,1
83046,92.95,230.0,322.95,6,1
81945,29.6,360.0,389.6,4,1
93916,17.92,29.5,47.42,1,1
46161,16.81,149.9,166.71,1,1
95762,33.34,370.47,403.81,4,1
97963,8.27,34.9,86.34,1,1
80806,12.64,72.9,171.08,4,1
40321,15.63,59.99,6.15,1,1
99391,15.87,110.32,252.38,1,1
63526,12.79,17.9,61.38,3,1
22162,17.03,83.9,100.93,1,1
5464,22.13,189.9,212.03,21,1
84911,15.68,66.9,82.58,1,1
10628,16.95,139.9,156.85,1,1
56279,14.1,24.99,39.09,2,1
106852,13.44,59.9,73.34,1,1
6728,7.39,16.0,23.39,1,1
31450,7.78,18.0,25.78,1,1
33437,18.11,169.0,187.11,2,1
60958,15.11,29.9,45.01,1,1
44704,14.33,103.9,118.23,10,1
111422,14.1,23.4,17.5,1,2
25239,14.49,35.0,148.47,8,1
70651,89.73,231.0,641.46,1,1
46523,16.79,10.9,27.69,1,1
98778,18.29,59.0,77.29,1,1
6059,7.78,63.0,353.9,1,1
32278,8.27,59.0,67.27,1,1
50051,14.1,14.9,29.0,1,1
92540,16.66,58.99,75.65,3,1
98606,18.33,74.99,279.96,2,1
58904,33.69,89.9,123.59,4,1
16188,9.91,379.9,389.81,4,1
69355,21.58,114.94,273.05,1,1
13134,14.93,299.99,314.92,10,1
92569,21.19,99.98,64.59,1,3
47069,17.07,89.9,106.97,1,1
75640,15.23,10.0,100.92,1,1
23028,21.14,93.49,114.63,1,1
43509,18.14,269.99,288.13,2,1
43091,19.13,178.99,198.12,6,1
112462,25.54,99.97,22.82,1,1
67524,15.38,89.49,104.87,1,1
1116,15.92,166.99,182.91,1,1
35444,21.44,314.97,672.82,8,1
57509,13.44,59.9,73.34,6,1
90004,15.1,25.0,80.2,6,1
8592,14.52,35.0,49.52,4,1
99019,16.25,70.0,86.25,3,1
75252,110.04,108.0,218.04,3,1
38605,34.78,139.9,174.68,6,1
46941,15.1,29.9,45.0,4,1
36908,16.87,128.0,144.87,2,1
40964,17.06,17.45,34.51,1,1
68484,15.79,16.59,32.38,1,1
46005,13.08,69.9,82.98,1,1
58594,9.66,120.0,129.66,2,1
74688,18.61,73.0,91.61,1,1
7875,21.3,487.9,509.2,2,1
33344,30.11,122.99,153.1,1,1
78123,17.58,119.9,2.58,1,4
98243,35.74,59.9,95.64,2,1
103083,18.26,53.99,12.25,1,4
56464,9.6,49.9,59.5,1,1
105001,8.88,49.0,57.88,1,1
92483,14.46,102.0,116.46,1,1
87607,13.71,98.44,581.25,1,1
66962,14.49,58.9,73.39,1,1
18106,15.1,48.9,64.0,4,1
84446,44.84,149.0,193.84,3,1
70131,18.99,17.9,36.89,2,1
53320,16.6,119.9,136.5,1,1
85335,12.46,179.0,191.46,10,1
78184,15.63,59.9,75.53,1,1
72348,8.88,54.7,6.56,1,12
104665,18.0,189.9,207.9,10,1
111750,18.23,16.49,69.44,1,1
5438,18.66,79.9,98.56,3,1
71208,10.12,339.9,350.02,3,1
1025,18.02,109.9,11.21,1,5
17163,22.14,607.95,630.09,1,1
59014,17.97,35.0,105.94,10,1
108025,15.23,47.9,63.13,3,1
103163,14.52,15.75,30.27,1,1
48771,18.23,10.8,110.32,1,1
65976,12.43,69.9,164.66,3,1
25144,15.29,68.0,185.59,1,1
69361,10.35,219.9,230.25,1,1
63780,11.9,56.99,68.89,3,1
109993,15.67,81.9,97.57,3,1
38962,16.32,99.0,115.32,1,1
48680,18.27,99.9,59.17,1,2
58771,13.71,49.9,318.05,4,1
39921,9.04,40.9,49.94,1,1
20549,15.67,214.9,230.57,1,1
54804,18.4,169.99,188.39,8,1
104636,16.47,109.9,126.37,1,1
2327,14.13,159.0,173.13,10,1
77461,27.23,129.9,157.13,1,1
6241,15.1,40.0,55.1,1,1
16632,19.15,149.65,168.8,2,1
73556,15.1,28.0,86.2,1,1
50743,16.11,17.99,34.1,1,1
8588,29.4,624.75,654.15,1,1
51609,7.94,39.9,47.84,1,1
108568,12.2,493.9,506.1,7,1
18159,19.41,158.99,178.4,8,1
29642,16.46,38.4,329.16,1,1
45921,25.75,129.99,155.74,1,1
67269,13.88,42.97,56.85,1,1
92747,122.93,550.0,672.93,8,1
38519,15.1,25.5,40.6,4,1
102287,15.1,34.96,200.24,4,1
76070,9.46,49.99,270.66,8,1
45584,25.56,149.94,175.5,1,1
48627,16.79,18.9,35.69,1,1
42953,18.16,129.9,148.06,1,1
79873,18.55,102.9,121.45,2,1
107369,10.96,14.99,103.8,1,1
62281,26.52,63.0,89.52,8,1
106933,13.68,86.9,100.58,3,1
76495,22.87,79.98,3.54,1,1
72646,124.45,379.9,504.35,4,1
72415,14.5,59.9,74.4,1,1
6519,7.78,35.9,43.68,3,1
75941,9.16,115.0,124.16,6,1
95111,10.96,22.0,131.84,3,1
84430,62.37,232.99,590.72,10,1
105953,38.52,229.9,268.42,5,1
35424,18.23,38.9,57.13,1,1
32020,18.65,78.9,97.55,1,1
24751,16.45,98.9,115.35,1,1
48619,10.6,169.9,180.5,3,1
103735,15.1,33.85,48.95,1,1
39622,15.59,69.99,171.16,5,1
105620,14.44,34.3,48.74,3,1
69465,23.35,90.5,113.85,1,1
44256,14.1,27.99,84.18,8,1
1862,8.89,84.6,30.0,1,2
64677,13.71,99.0,43.81,2,1
41859,15.27,24.9,40.17,1,1
85777,16.81,149.88,166.69,1,1
50369,18.45,50.49,68.94,1,1
98597,7.39,13.9,21.29,1,1
74007,17.67,59.89,155.12,1,1
8027,15.87,159.9,175.77,4,1
77460,15.82,152.72,168.54,1,1
57345,58.0,599.0,657.0,10,1
76346,6.67,99.0,317.0,2,1
81831,12.79,17.1,29.89,1,1
43212,13.58,89.9,116.95,10,1
102597,36.72,194.9,231.62,2,1
81282,18.3,246.62,264.92,2,1
69919,7.78,18.99,26.77,2,1
3912,7.39,14.9,22.29,1,1
69895,17.59,39.99,108.12,7,1
97188,20.08,198.0,218.08,4,1
14005,17.63,21.99,39.62,1,1
67595,11.73,58.99,70.72,1,1
89919,8.3,149.3,315.2,8,1
48518,8.73,51.0,59.73,1,1
1370,17.92,31.8,99.44,1,1
58689,36.86,99.0,100.0,1,2
16183,23.59,399.0,422.59,5,1
106317,17.09,43.9,4.92,1,1
105488,10.21,199.0,177.21,1,2
67502,9.52,189.9,199.42,1,1
23873,18.62,149.9,168.52,2,1
72396,15.56,115.0,261.12,1,1
96911,8.19,64.6,72.79,1,1
29275,9.37,79.9,17.14,1,2
60499,15.14,118.44,133.58,1,1
43607,22.93,38.0,60.93,1,1
55440,24.84,27.0,51.84,5,1
108798,10.99,54.9,65.89,1,1
77405,21.43,139.99,645.68,3,1
73457,13.35,109.9,123.25,10,1
53018,24.68,599.0,623.68,1,1
58076,37.13,147.9,185.03,4,1
93203,14.03,99.15,113.18,1,1
54729,20.05,79.99,100.04,5,1
87444,20.48,149.99,64.2,1,2
79092,15.36,87.8,103.16,1,1
110714,22.27,350.0,372.27,7,1
100904,18.3,59.9,78.2,5,1
342,39.21,134.9,174.11,3,1
3548,13.68,86.9,100.58,10,1
47230,12.37,139.9,152.27,4,1
107869,27.36,149.0,176.36,1,1
111978,7.98,34.0,41.98,1,1
22697,16.11,49.0,65.11,1,1
98612,17.62,99.0,116.62,3,1
101906,14.06,149.0,163.06,10,1
63515,14.52,45.49,60.01,1,1
36665,68.53,299.0,367.53,5,1
46462,17.61,13.77,73.4,1,1
15974,14.8,513.9,528.7,10,1
29864,17.6,50.7,40.88,1,2
36275,22.58,299.0,643.16,4,1
100215,42.03,150.0,192.03,3,1
110417,14.43,117.3,131.73,10,1
100725,7.55,41.9,49.45,2,1
53078,19.06,149.99,338.1,6,1
107832,9.3,78.9,88.2,1,1
100285,22.36,143.8,439.76,1,1
29499,20.02,119.0,139.02,1,1
52317,17.78,14.9,65.36,1,1
19185,18.23,139.9,133.98,1,2
77012,15.56,38.0,267.8,1,1
59988,8.05,169.99,28.04,1,1
23945,7.71,14.8,22.51,1,1
41489,8.88,9.0,53.64,1,1
93006,15.93,259.9,411.6,4,1
75354,29.83,114.99,144.82,4,1
78635,25.77,549.0,574.77,8,1
77705,25.63,39.99,65.62,1,1
11704,18.2,135.0,153.2,1,1
83142,24.62,59.9,84.52,1,1
25882,15.11,51.49,66.6,3,1
58518,11.85,43.2,220.2,1,1
22676,14.86,110.9,377.28,1,1
15576,23.36,69.9,93.26,1,1
91879,16.68,149.99,166.67,4,1
76287,23.07,69.99,93.06,3,1
2323,18.58,164.33,182.91,6,1
107234,18.43,119.9,138.33,3,1
5960,16.79,12.9,29.69,1,1
16481,8.88,40.9,99.56,2,1
64696,9.71,113.85,123.56,1,1
30890,14.1,19.99,34.09,1,1
110058,19.29,245.0,264.29,5,1
88486,12.89,64.9,77.79,1,1
29451,5.59,86.9,221.93,2,1
52694,17.6,119.0,136.6,1,1
44642,40.37,149.0,189.37,1,1
96987,8.95,39.99,97.88,1,1
112155,14.23,69.0,83.23,8,1
36971,11.85,9.0,4.68,1,1
36588,11.83,349.0,931.53,1,1
68188,14.51,59.58,41.87,2,1
71157,15.1,40.0,108.2,1,1
70025,18.25,95.0,113.25,2,1
66476,28.33,269.99,298.32,1,1
86392,23.32,149.0,172.32,1,1
73825,34.15,27.99,124.28,10,1
1983,14.36,84.99,104.86,1,2
78502,18.09,119.9,137.99,6,1
64496,34.94,199.9,234.84,4,1
79979,28.82,59.9,88.72,1,1
5985,13.29,122.0,135.29,3,1
57098,62.89,179.0,241.89,8,1
11407,18.76,93.97,112.73,2,1
2391,29.02,89.0,118.02,2,1
87913,41.01,89.0,130.01,1,1
49863,12.61,159.0,171.61,1,1
5548,8.72,33.0,0.28,1,1
17954,11.85,21.9,18.15,1,1
104224,19.45,69.0,88.45,1,1
65279,10.96,50.0,60.96,1,1
88481,13.71,45.9,59.61,1,1
33693,14.52,34.9,49.42,2,1
2783,12.9,84.99,97.89,1,1
10214,37.04,27.99,65.03,1,1
103076,15.11,34.9,50.01,1,1
82993,16.99,78.9,95.89,2,1
102084,23.16,51.9,75.06,3,1
66048,12.69,44.9,57.59,1,1
95320,12.6,199.99,40.11,1,3
111993,15.23,24.89,40.12,1,1
75262,51.29,113.0,164.29,8,1
32204,22.28,49.9,72.18,1,1
26260,17.37,239.0,256.37,8,1
36937,16.75,79.99,96.74,2,1
32939,7.78,54.99,106.54,1,1
37634,7.78,19.9,27.68,1,1
98253,14.11,24.99,39.1,1,1
71738,14.52,10.9,50.84,1,1
4851,15.11,32.2,47.31,1,1
3935,15.83,75.0,181.66,6,1
110537,39.17,249.9,686.1,4,1
82514,16.74,140.6,314.68,8,1
33141,9.26,63.0,72.26,1,1
