,customer_city,customer_state,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp,shipping_limit_date,price,freight_value,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,payment_sequential,payment_type,payment_installments,payment_value,seller_city,seller_state,product_category_name_english,product_category,product_vol_cm3,shipping_days,arrival_status,estimated_days,arrival_days,estimated_delivery_rate,arrival_delivery_rate,shipping_delivery_rate
25018,leme,SP,2017-10-11 19:29:48,2017-10-11 19:45:54,2017-10-13 20:47:57,2017-10-20 20:49:52,2017-11-03,5,,,2017-10-21 00:00:00,2017-10-21 14:32:09,2017-10-18 20:45:54,179.9,102.7,59.0,940.0,4.0,11200.0,2,credit_card,3,58.51,curitiba,PR,toys,Entertainment,64000.0,7,OnTime/Early,22,9,Neutral,Fast,Very Fast
98920,morrinhos,GO,2017-08-28 22:52:43,2017-08-28 23:05:14,2017-08-29 20:28:03,2017-09-06 19:33:46,2017-09-20,5,,,2017-09-07 00:00:00,2017-09-08 10:58:16,2017-09-03 23:05:14,69.0,16.92,38.0,301.0,1.0,107.0,1,credit_card,2,171.84,belo horizonte,MG,computers_accessories,Electronics,490.0,7,OnTime/Early,22,8,Neutral,Fast,Very Fast
53660,belo horizonte,MG,2017-09-05 23:18:28,2017-09-05 23:30:14,2017-09-08 19:56:34,2017-09-13 23:33:19,2017-09-26,5,,,2017-09-14 00:00:00,2017-09-18 19:28:09,2017-09-12 23:30:14,99.9,14.43,62.0,643.0,1.0,1700.0,1,credit_card,3,114.33,tres coracoes,MG,bed_bath_table,Furniture,7448.0,5,OnTime/Early,20,8,Neutral,Fast,Very Fast
88612,rio das ostras,RJ,2018-02-24 19:34:27,2018-02-24 19:47:14,2018-03-12 20:49:47,2018-04-04 20:34:54,2018-03-23,1,,Comprei o produto há 40 dias e ainda não foi entregue.,2018-03-25 00:00:00,2018-04-03 13:33:50,2018-03-01 19:47:14,149.9,17.49,58.0,420.0,1.0,200.0,1,credit_card,4,334.78,maringa,PR,computers_accessories,Electronics,4410.0,22,Late,26,39,Slow,Slow,Neutral
100975,bertioga,SP,2018-02-11 11:13:55,2018-02-11 11:28:08,2018-02-14 20:05:14,2018-03-01 01:43:14,2018-03-06,5,,,2018-03-02 00:00:00,2018-03-02 12:21:12,2018-02-15 11:28:08,144.99,14.03,54.0,629.0,1.0,1050.0,1,credit_card,6,159.02,sao paulo,SP,cool_stuff,Fashion,19008.0,14,OnTime/Early,22,17,Neutral,Neutral,Fast
95398,sao jose do rio pardo,SP,2017-09-01 10:26:27,2017-09-01 10:44:48,2017-09-04 13:57:56,2017-09-11 18:52:51,2017-09-26,5,,,2017-09-12 00:00:00,2017-09-13 14:51:01,2017-09-08 10:44:48,19.9,25.63,54.0,1219.0,1.0,200.0,2,voucher,1,12.14,goiania,GO,dvds_blu_ray,Entertainment,560.0,7,OnTime/Early,24,10,Neutral,Fast,Very Fast
52928,itajai,SC,2018-02-07 12:08:41,2018-02-07 12:15:33,2018-02-09 17:09:30,2018-02-26 18:58:24,2018-03-07,1,,"Recebi o produto avariado, quero fazer devolução, estou entrando em contato e ninguém resolve nada.",2018-02-27 00:00:00,2018-03-01 14:37:24,2018-02-13 12:15:33,279.9,16.71,51.0,780.0,2.0,2450.0,1,credit_card,2,296.61,osasco,SP,toys,Entertainment,34650.0,17,OnTime/Early,27,19,Slow,Neutral,Neutral
78300,lauro de freitas,BA,2017-06-02 16:34:22,2017-06-02 16:45:25,2017-06-14 09:58:07,2017-06-16 14:53:04,2017-07-05,4,,"Super rápida a entrega, e produto conforme esperava.",2017-06-17 00:00:00,2017-06-18 00:47:25,2017-06-08 16:45:25,117.9,19.07,50.0,2913.0,3.0,1000.0,1,credit_card,2,136.97,sao paulo,SP,books_general_interest,Books & Stationery,2040.0,2,OnTime/Early,32,13,Slow,Fast,Very Fast
94265,joinville,SC,2018-05-11 23:03:20,2018-05-11 23:36:26,2018-05-16 13:18:00,2018-05-23 16:36:51,2018-06-04,5,,Fiz a compra o produto chegou antes do prazo e tudo em ordem ,2018-05-24 00:00:00,2018-05-25 11:37:12,2018-05-16 23:31:08,117.4,22.53,35.0,503.0,1.0,430.0,1,credit_card,3,139.93,sao goncalo,RJ,perfumery,Beauty & Health,3927.0,7,OnTime/Early,23,11,Neutral,Fast,Very Fast
102989,cajamar,SP,2018-07-30 14:00:47,2018-07-31 06:35:17,2018-07-31 19:02:00,2018-08-02 00:38:37,2018-08-03,5,Touca ,Eu adorei o produto e eles entrega antes da data prevista ,2018-08-03 00:00:00,2018-08-03 15:28:11,2018-08-03 06:35:17,29.9,7.47,55.0,388.0,1.0,250.0,1,boleto,1,37.37,piracicaba,SP,health_beauty,Beauty & Health,1200.0,1,OnTime/Early,3,2,Very Fast,Very Fast,Very Fast
56764,juiz de fora,MG,2017-02-18 11:09:50,2017-02-18 11:22:41,2017-02-20 14:32:36,2017-03-02 14:32:40,2017-03-21,5,,,2017-03-03 00:00:00,2017-03-06 15:36:34,2017-02-22 10:09:50,85.99,20.7,45.0,310.0,2.0,1800.0,1,credit_card,10,106.69,ibitinga,SP,bed_bath_table,Furniture,17500.0,10,OnTime/Early,30,12,Slow,Fast,Fast
16419,conceicao do caninde,PI,2017-10-16 00:17:09,2017-10-16 00:35:20,2017-10-20 21:57:53,2017-10-31 22:53:41,2017-11-14,5,,estou plenamente satisfeita com o produto. Adorei,2017-11-01 00:00:00,2017-11-06 15:32:07,2017-10-20 00:35:20,155.44,26.37,50.0,529.0,1.0,488.0,1,credit_card,7,181.81,brasilia,DF,health_beauty,Beauty & Health,5474.0,11,OnTime/Early,28,15,Slow,Fast,Fast
38705,ribeirao preto,SP,2018-03-11 16:36:42,2018-03-13 04:30:39,2018-03-13 21:18:39,2018-03-22 16:03:18,2018-03-28,5,,,2018-03-23 00:00:00,2018-03-28 03:45:07,2018-03-19 04:30:39,89.9,13.07,38.0,571.0,1.0,147.0,1,boleto,1,102.97,sao paulo,SP,toys,Entertainment,1680.0,8,OnTime/Early,16,10,Neutral,Fast,Fast
32430,sao paulo,SP,2018-07-31 23:44:57,2018-08-01 00:20:07,2018-08-01 18:01:00,2018-08-02 15:51:46,2018-08-03,5,,,2018-08-03 00:00:00,2018-08-04 18:05:28,2018-08-03 00:20:07,45.0,7.58,51.0,789.0,2.0,200.0,1,credit_card,1,52.58,sao paulo,SP,watches_gifts,Electronics,352.0,0,OnTime/Early,2,1,Very Fast,Very Fast,Very Fast
92635,guairaca,PR,2018-08-05 08:12:05,2018-08-05 08:24:20,2018-08-07 15:00:00,2018-08-14 06:32:44,2018-08-20,1,Reclamação ,"Comprei dois itens. E só foi entregue um. Nota fiscal consta dois produtos. 
Entregue apenas 1.",2018-08-15 00:00:00,2018-08-15 15:33:42,2018-08-07 08:24:20,31.9,18.32,52.0,547.0,2.0,283.0,1,credit_card,1,100.44,jacarei,SP,construction_tools_construction,Industry & Construction,2550.0,6,OnTime/Early,14,8,Fast,Fast,Very Fast
20826,curitiba,PR,2017-12-14 20:26:11,2017-12-15 02:15:59,2017-12-15 18:13:43,2018-01-05 23:11:09,2018-01-11,1,,O produto estava quebrado.,2018-01-06 00:00:00,2018-01-07 19:24:05,2017-12-21 02:15:59,24.89,17.63,53.0,265.0,2.0,150.0,1,boleto,1,42.52,brasilia,DF,electronics,Electronics,4290.0,21,OnTime/Early,27,22,Slow,Neutral,Neutral
65513,ribeirao preto,SP,2017-11-18 15:38:54,2017-11-18 15:50:31,2017-11-20 12:18:55,2017-11-23 22:58:46,2017-12-07,5,,Adorei a rede. Recebi antes do prazo. Excelente atendimento. Super recomendo.,2017-11-24 00:00:00,2017-11-25 01:47:55,2017-11-23 15:50:31,54.9,13.4,41.0,596.0,4.0,1750.0,1,credit_card,6,68.3,poa,SP,bed_bath_table,Furniture,20000.0,3,OnTime/Early,18,5,Neutral,Very Fast,Very Fast
28350,nova iguacu,RJ,2018-04-16 11:14:51,2018-04-16 11:31:22,2018-04-19 21:06:56,2018-05-02 20:38:41,2018-05-10,3,,,2018-05-03 00:00:00,2018-05-04 02:20:35,2018-04-20 11:31:20,21.9,15.23,43.0,391.0,1.0,150.0,1,credit_card,1,37.13,sao paulo,SP,electronics,Electronics,2800.0,12,OnTime/Early,23,16,Neutral,Neutral,Fast
7214,sao bernardo do campo,SP,2017-07-26 19:17:40,2017-07-26 19:30:18,2017-07-28 19:19:00,2017-08-02 15:57:03,2017-08-24,5,,"SÓ TENHO AGRADECER , NADA A RECLAMAR",2017-08-03 00:00:00,2017-08-03 20:39:05,2017-08-01 19:30:18,75.9,12.66,45.0,267.0,1.0,167.0,1,credit_card,4,88.56,maringa,PR,computers_accessories,Electronics,2496.0,4,OnTime/Early,28,6,Slow,Very Fast,Very Fast
78204,rio de janeiro,RJ,2018-01-20 17:59:58,2018-01-20 18:30:28,2018-02-09 16:58:56,2018-02-17 13:15:03,2018-02-14,3,,Não recomendaria esta loja nem pretendo voltar a comprar nela.A mercadoria foi entregue após o prazo e quase 1 mês após a compra. No site das lannister costumam chegar antes do prazo. Estranhei muito,2018-02-16 00:00:00,2018-02-17 21:35:00,2018-01-25 18:30:28,15.9,14.1,59.0,273.0,1.0,300.0,1,credit_card,1,30.0,paulinia,SP,telephony,Electronics,352.0,7,Late,24,27,Neutral,Slow,Very Fast
10072,teresina,PI,2018-04-05 22:08:31,2018-04-07 02:48:04,2018-04-09 23:52:04,2018-05-05 14:41:37,2018-04-27,5,,,2018-05-04 00:00:00,2018-05-06 15:39:09,2018-04-12 02:48:04,129.0,27.45,30.0,451.0,2.0,1300.0,1,boleto,1,156.45,sao paulo,SP,sports_leisure,Entertainment,7500.0,25,Late,21,29,Neutral,Slow,Slow
108206,embu das artes,SP,2018-05-21 14:47:03,2018-05-21 16:14:48,2018-05-24 07:25:00,2018-06-09 17:28:32,2018-06-06,1,,Ainda não recebi o produto. Estou aguardando.,2018-06-08 00:00:00,2018-06-08 14:27:02,2018-05-24 16:14:48,39.9,33.71,56.0,296.0,3.0,900.0,1,credit_card,4,73.61,ibitinga,SP,furniture_decor,Furniture,8400.0,16,Late,15,19,Fast,Neutral,Neutral
84121,barra mansa,RJ,2017-11-21 08:54:33,2017-11-21 09:06:48,2017-11-25 03:26:44,2017-12-19 21:23:43,2017-12-18,5,,Recomendo ,2017-12-19 00:00:00,2017-12-20 16:14:32,2017-12-04 09:06:48,109.9,18.02,58.0,871.0,1.0,1200.0,1,credit_card,2,127.92,belo horizonte,MG,bed_bath_table,Furniture,14800.0,24,Late,26,28,Slow,Slow,Neutral
83474,sao paulo,SP,2017-07-05 12:25:05,2017-07-07 02:51:05,2017-07-07 17:12:35,2017-07-17 11:26:51,2017-07-19,5,,,2017-07-18 00:00:00,2017-07-18 17:16:01,2017-07-14 02:51:05,20.0,7.78,57.0,878.0,1.0,450.0,1,boleto,1,27.78,cotia,SP,auto,Electronics,4500.0,9,OnTime/Early,13,11,Fast,Fast,Fast
96215,cantagalo,RJ,2018-01-17 09:19:54,2018-01-17 09:31:07,2018-01-19 20:35:16,2018-02-08 22:43:16,2018-02-16,4,,,2018-02-09 00:00:00,2018-02-10 01:00:02,2018-01-25 09:30:59,65.0,17.7,24.0,268.0,1.0,1050.0,2,voucher,1,5.36,sao paulo,SP,furniture_decor,Furniture,11616.0,20,OnTime/Early,29,22,Slow,Neutral,Neutral
41381,cafelandia,PR,2018-01-14 16:54:23,2018-01-16 03:35:47,2018-01-16 19:51:14,2018-01-29 21:53:01,2018-02-09,5,,,2018-01-30 00:00:00,2018-02-02 00:13:25,2018-01-22 03:35:47,149.0,21.53,50.0,537.0,6.0,1750.0,1,boleto,1,170.53,sao paulo,SP,stationery,Books & Stationery,40656.0,13,OnTime/Early,25,15,Slow,Fast,Fast
15114,rio de janeiro,RJ,2018-05-09 16:14:20,2018-05-09 18:13:39,2018-05-16 05:29:00,2018-06-05 20:38:58,2018-06-13,4,,"como eu esperaca
",2018-06-06 00:00:00,2018-06-07 00:59:50,2018-05-15 18:13:39,99.9,0.0,33.0,523.0,3.0,584.0,1,credit_card,4,99.9,ribeirao preto,SP,watches_gifts,Electronics,2288.0,20,OnTime/Early,34,27,Slow,Slow,Neutral
10887,belo horizonte,MG,2018-08-05 06:05:40,2018-08-06 06:04:21,2018-08-06 12:06:00,2018-08-07 19:22:44,2018-08-16,5,,,2018-08-08 00:00:00,2018-08-08 22:36:37,2018-08-08 06:04:21,31.25,7.96,48.0,835.0,5.0,83.0,1,credit_card,1,39.21,divinopolis,MG,baby,Fashion,1824.0,1,OnTime/Early,10,2,Fast,Very Fast,Very Fast
111910,nova friburgo,RJ,2017-04-22 20:03:30,2017-04-22 20:15:10,2017-04-24 10:35:31,2017-05-03 13:08:12,2017-05-15,5,,,2017-05-04 00:00:00,2017-05-05 10:39:13,2017-04-27 20:15:10,109.99,20.85,52.0,111.0,1.0,2100.0,1,credit_card,4,130.84,ibitinga,SP,bed_bath_table,Furniture,6750.0,9,OnTime/Early,22,10,Neutral,Fast,Fast
112228,luziania,GO,2018-07-04 10:43:37,2018-07-05 16:11:32,2018-07-06 07:13:00,2018-07-13 18:08:36,2018-07-31,5,,,2018-07-14 00:00:00,2018-07-16 02:09:44,2018-07-10 22:31:18,149.9,27.35,31.0,462.0,2.0,6550.0,1,credit_card,4,177.25,santo andre,SP,home_construction,Furniture,29792.0,7,OnTime/Early,26,9,Slow,Fast,Very Fast
44282,cajamar,SP,2017-12-19 10:40:51,2017-12-20 07:18:06,2017-12-20 21:37:03,2017-12-23 13:10:18,2018-01-08,4,,O produto soh chegou com a caixinha rasgada mais d resto td ok. ,2017-12-24 00:00:00,2017-12-26 15:43:48,2017-12-27 07:18:06,19.49,9.27,60.0,3725.0,6.0,675.0,1,boleto,1,28.76,vicente de carvalho,SP,food,Food & Drinks,6300.0,2,OnTime/Early,19,4,Neutral,Very Fast,Very Fast
16070,belo horizonte,MG,2018-02-02 23:02:49,2018-02-02 23:15:25,2018-02-06 02:07:59,2018-02-24 14:59:01,2018-03-02,2,,"Eu comprei 2 MOP, e no mesmo dia solicitei a devolução, não tive resposta ainda, de como devolver, e ainda por cima chegou apenas 1 na minha casa.",2018-02-25 00:00:00,2018-02-28 14:02:14,2018-02-11 23:15:25,58.9,21.25,41.0,799.0,1.0,7000.0,1,credit_card,8,160.3,jundiai,SP,housewares,Home & Garden,32994.0,18,OnTime/Early,27,21,Slow,Neutral,Neutral
70028,salto,SP,2017-11-21 08:29:20,2017-11-21 08:39:29,2017-11-23 15:02:22,2017-11-26 16:13:21,2017-12-13,5,,entrega super rápida!,2017-11-27 00:00:00,2017-11-30 10:16:20,2017-12-01 08:39:29,105.89,12.24,42.0,2951.0,2.0,150.0,1,credit_card,2,118.13,sao carlos,SP,sports_leisure,Entertainment,1408.0,3,OnTime/Early,21,5,Neutral,Very Fast,Very Fast
36287,alto paraiso de goias,GO,2018-01-30 09:51:29,2018-01-30 10:14:48,2018-01-31 13:04:07,2018-02-20 15:25:00,2018-03-07,3,,,2018-02-21 00:00:00,2018-02-21 19:13:32,2018-02-05 10:14:48,24.9,19.25,58.0,137.0,4.0,450.0,1,credit_card,4,307.23,tres rios,RJ,bed_bath_table,Furniture,5481.0,20,OnTime/Early,35,21,Slow,Neutral,Neutral
87321,piacabucu,AL,2018-08-05 21:41:29,2018-08-05 21:50:16,2018-08-08 13:36:00,2018-08-20 20:09:38,2018-09-06,5,Ótimo ,Recomendo para todos ,2018-08-21 00:00:00,2018-08-24 01:25:22,2018-08-09 21:50:16,99.9,53.05,50.0,1001.0,1.0,3725.0,1,credit_card,4,152.95,sao paulo,SP,health_beauty,Beauty & Health,8000.0,12,OnTime/Early,31,14,Slow,Fast,Fast
101130,sao paulo,SP,2017-08-30 13:51:42,2017-08-31 02:35:43,2017-08-31 18:34:12,2017-09-01 20:13:13,2017-09-12,4,,Escolhi com led vermelho e chegou azul...,2017-09-02 00:00:00,2017-09-04 15:10:14,2017-09-06 02:35:43,35.0,7.78,57.0,573.0,8.0,200.0,1,boleto,1,42.78,sao paulo,SP,watches_gifts,Electronics,352.0,1,OnTime/Early,12,2,Fast,Very Fast,Very Fast
92047,recife,PE,2018-08-02 12:04:55,2018-08-02 12:50:19,2018-08-03 10:29:00,2018-08-27 20:18:43,2018-08-22,1,Relógio não entregue ,Comprei 2 relógios e entregaram apenas 1. Aguardo posicionamento da loja qto a isso ou estorno do valor no cartão. ,2018-08-24 00:00:00,2018-08-28 18:32:13,2018-08-06 12:50:19,55.0,3.5,55.0,336.0,4.0,250.0,1,credit_card,3,142.54,sao paulo,SP,watches_gifts,Electronics,640.0,24,Late,19,25,Neutral,Slow,Neutral
